Rank,Name,Meet,Time,Time in Seconds,Flags
2,Sydney Sonday,MIAA Championships,51.24,51.24,D3 B
3,Maggie Farrell,MIAA Championships,51.54,51.54,
4,Emma Merkel,Calvin GVSU SVSU,53.33,53.33,
5,Meghan Bengelink,Calvin Quad,53.36,53.36,
6,Anya Hopek,MIAA Championships,54.42,54.42,
7,Jorie Cho,MIAA Championships,54.93,54.93,R
8,Kristin Winkle,MIAA Championships,55.04,55.04,R
9,Natalie Fisher,Calvin Winter Invitational,55.14,55.14,R
10,Jenna Pierce,Hope vs. Calvin,55.17,55.17,
11,Maria Pfundt,Calvin Winter Invitational,55.23,55.23,
12,Kaelin Kelley,Calvin Winter Invitational,55.54,55.54,
13,Abby Merz,MIAA Championships,55.88,55.88,
14,Sophia Korfmacher,Calvin Winter Invitational,55.92,55.92,R
15,Katie Phippen,Calvin v Albion v Alma,55.96,55.96,
16,Sadie Norman,Calvin Winter Invitational,56.00,56,R
17,Grace Carpenter,Calvin Winter Invitational,56.10,56.1,
18,Lauren Miedema,Calvin Winter Invitational,56.20,56.2,R
19,Elyse Radawski,Calvin Wayne State,56.59,56.59,
20,Madi McNearney,Calvin Quad,56.61,56.61,R
21,Becca Streelman,Calvin Wayne State,56.72,56.72,
22,Lauren Robertson,MIAA Championships,56.84,56.84,
23,Rachel Haitonic,Calvin Winter Invitational,57.38,57.38,
24,Aly Hoover,MIAA Championships,58.38,58.38,
25,Cailin Ogg,MIAA Championships,58.48,58.48,
26,Maya Bedford,Calvin Quad,58.97,58.97,
27,Eden Maring,Hope vs. Calvin,59.20,59.2,
28,Milana Srbinovski,Calvin GVSU SVSU,1:00.36,60.36,
29,Tori Beigle,Hope vs. Calvin,1:00.55,60.55,
30,Kailee Turner,Calvin v Albion v Alma,1:00.59,60.59,
31,Ashley Sap,Calvin Quad,1:01.90,61.9,R
32,Lynda Steen,Calvin v Albion v Alma,1:02.54,62.54,
1,Charles Platt,MIAA Championships,1:38.95,98.95,D3 B
2,David Bajwa,MIAA Championships,1:39.89,99.89,R
3,Julien Camy,MIAA Championships,1:39.99,99.99000000000001,R
4,Josh Seidelman,MIAA Championships,1:41.38,101.38,
5,Eric Chimes,Calvin Winter Invitational,1:41.69,101.69,R
6,Jack Kulaga,MIAA Championships,1:41.99,101.99000000000001,
7,Ryan Halberg,MIAA Championships,1:43.43,103.43,
8,Austin Martinson,MIAA Championships,1:43.50,103.5,R
9,Andrew Stimpert,MIAA Championships,1:44.43,104.43,
10,Jacob Ziegler,Calvin Winter Invitational,1:44.58,104.58,R
11,Addison Van Soelen,MIAA Championships,1:44.62,104.62,
12,Vlad Molin,Calvin Winter Invitational,1:44.75,104.75,
13,Zach Logan,MIAA Championships,1:45.13,105.13,
14,Timothy Hays,Calvin v Albion v Alma,1:45.89,105.89,
15,Henry Phippen,Calvin Winter Invitational,1:45.90,105.9,
16,Ted Turnage,Calvin Winter Invitational,1:46.26,106.25999999999999,R
17,Carter Detweiler,MIAA Championships,1:46.63,106.63,
18,Mike Wormmeester,MIAA Championships,1:47.12,107.12,
19,Anthony Crudele,Calvin Winter Invitational,1:48.25,108.25,R
20,Will Bales,MIAA Championships,1:49.15,109.15,
21,Benjamin Wichhart,2024 Calvin Kalamazoo Olivet,1:51.89,111.89,
22,Ethan Wayne,Calvin Winter Invitational,1:52.65,112.65,R
23,Logan Yakubowski,Calvin GVSU SVSU,1:52.80,112.8,
24,Jake Schotanus,Calvin Wayne State,1:53.44,113.44,R
25,Peter Crudele,MIAA Championships,1:55.07,115.07,
26,Beau Reeder,MIAA Championships,1:55.26,115.25999999999999,
27,Nate Kaestner,Calvin Winter Invitational,1:55.45,115.45,
1,Isabella Gable,MIAA Championships,1:50.65,110.65,D3 B
2,Emma Merkel,MIAA Championships,1:51.13,111.13,D3 B R
3,Maggie Farrell,Calvin Winter Invitational,1:55.00,115,R
4,Sydney Sonday,CMU Quad Meet,1:56.97,116.97,
5,Becca Streelman,Calvin Winter Invitational,1:58.41,118.41,
6,Meghan Bengelink,Calvin Winter Invitational,1:58.75,118.75,
7,Kristin Winkle,MIAA Championships,1:59.56,119.56,R
8,Sophia Korfmacher,Calvin Wayne State,1:59.66,119.66,R
9,Madi McNearney,Calvin Winter Invitational,2:01.38,121.38,R
10,Jenna Pierce,Hope vs. Calvin,2:01.86,121.86,
11,Grace Carpenter,Calvin Winter Invitational,2:02.31,122.31,R
12,Elyse Radawski,Calvin Winter Invitational,2:02.72,122.72,R
13,Katie Phippen,Calvin Winter Invitational,2:03.06,123.06,R
14,Lauren Miedema,MIAA Championships,2:03.32,123.32,R
15,Eden Maring,MIAA Championships,2:03.39,123.39,
16,Lynda Steen,Calvin Winter Invitational,2:03.63,123.63,
17,Kaelin Kelley,Calvin v Albion v Alma,2:04.12,124.12,
18,Anya Hopek,CMU Quad Meet,2:04.38,124.38,
19,Natalie Fisher,Calvin at Wheaton,2:04.43,124.43,
20,Milana Srbinovski,Calvin Winter Invitational,2:05.75,125.75,R
21,Rachel Haitonic,Calvin Winter Invitational,2:06.14,126.14,
22,Kailee Turner,MIAA Championships,2:06.97,126.97,
23,Cailin Ogg,MIAA Championships,2:07.42,127.42,
24,Ashley Sap,Calvin Winter Invitational,2:08.64,128.64,
25,Annie Connors,2024 Calvin Kalamazoo Olivet,2:08.92,128.92,
26,Maya Bedford,Calvin Quad,2:09.41,129.41,
1,Josh Seidelman,Calvin Winter Invitational,4:38.49,278.49,
2,Ryan Halberg,MIAA Championships,4:38.95,278.95,
3,Andrew Stimpert,MIAA Championships,4:42.80,282.8,
4,Eric Chimes,Hope vs. Calvin,4:46.01,286.01,
5,Jack Kulaga,MIAA Championships,4:46.12,286.12,
6,Timothy Hays,GCC v Calvin,4:52.24,292.24,
7,Henry Phippen,MIAA Championships,4:54.85,294.85,
8,Mike Wormmeester,MIAA Championships,4:55.79,295.79,
9,Benjamin Wichhart,MIAA Championships,4:58.80,298.8,
10,Austin Martinson,Calvin Wayne State,4:59.30,299.3,
11,Forrest Peterson,Calvin at Wheaton,4:59.89,299.89,
12,Carter Detweiler,MIAA Championships,5:00.27,300.27,
13,Nate Kaestner,MIAA Championships,5:01.61,301.61,
14,Jacob Ziegler,GCC v Calvin,5:04.30,304.3,
15,Ethan Wayne,MIAA Championships,5:07.81,307.81,
16,Peter Crudele,Calvin Winter Invitational,5:17.36,317.36,
1,Emma Merkel,Calvin Quad,5:02.41,302.41,
2,Isabella Gable,Calvin Quad,5:02.45,302.45,
3,Becca Streelman,MIAA Championships,5:17.60,317.6,
4,Lynda Steen,MIAA Championships,5:22.42,322.42,
5,Kristin Winkle,MIAA Championships,5:22.53,322.53,
6,Megan Pankratz,MIAA Championships,5:23.10,323.1,
7,Sophia Korfmacher,Calvin Wayne State,5:25.15,325.15,
8,Madi McNearney,Calvin v Albion v Alma,5:27.13,327.13,
9,Lauren Miedema,Calvin Quad,5:31.53,331.53,
10,Eden Maring,Calvin Quad,5:31.85,331.85,
11,Kailee Turner,MIAA Championships,5:38.68,338.68,
12,Ashley Sap,Calvin Quad,5:42.47,342.47,
13,Rachel Haitonic,Calvin Winter Invitational,5:47.15,347.15,
14,Elizabeth Dylewski,Calvin Winter Invitational,5:54.83,354.83,
15,Annie Connors,Calvin Quad,5:55.06,355.06,
16,Maya Bedford,Calvin Quad,6:03.04,363.04,
1,Ryan Halberg,Chicago vs. Calvin,9:49.39,589.39,
2,Josh Seidelman,Calvin Winter Invitational,9:52.52,592.52,X
3,Andrew Stimpert,MIAA Championships,10:01.06,601.06,X
4,Eric Chimes,GCC v Calvin,10:11.16,611.16,
5,Henry Phippen,Calvin Winter Invitational,10:24.80,624.8,X
6,Nate Kaestner,Calvin Winter Invitational,10:33.23,633.23,X
7,Benjamin Wichhart,Calvin v Albion v Alma,11:02.34,662.34,
8,Ethan Wayne,2024 Calvin Kalamazoo Olivet,11:14.82,674.82,X
9,Peter Crudele,Calvin Winter Invitational,11:15.53,675.53,X
1,Emma Merkel,Hope vs. Calvin,10:49.01,649.01,
2,Megan Pankratz,MIAA Championships,11:01.82,661.82,X
3,Becca Streelman,Hope vs. Calvin,11:14.80,674.8,
4,Madi McNearney,CMU Quad Meet,11:18.38,678.38,
5,Lynda Steen,MIAA Championships,11:18.41,678.41,X
6,Kristin Winkle,MIAA Championships,11:21.18,681.18,X
