Rank,Name,Meet,Time,Time in Seconds,Flags
8,Eric Chimes,Calvin v Albion v Alma,50.89,50.89,
9,Benjamin Wichhart,MIAA Championships,51.50,51.5,
10,Timothy Hays,Calvin v Albion v Alma,51.58,51.58,
11,Logan Yakubowski,Calvin Winter Invitational,51.83,51.83,
12,Jake Schotanus,MIAA Championships,52.50,52.5,
13,Steven Devaughn,MIAA Championships,52.83,52.83,
14,Jacob Ziegler,Calvin Winter Invitational,53.97,53.97,X
15,Ethan Wayne,Calvin Winter Invitational,54.14,54.14,
16,Will Bales,Calvin Wayne State,54.79,54.79,
17,Mohamed Abujiba,GCC v Calvin,55.15,55.15,
18,Tater Ring,MIAA Championships,55.30,55.3,
19,Zach Logan,Calvin Wayne State,55.38,55.38,
20,Caleb Gemmen,Calvin v Albion v Alma,56.27,56.27,
21,Ryan Halberg,Calvin Wayne State,1:00.21,60.21,X
22,Henry Phippen,Calvin Wayne State,1:03.61,63.61,X
23,Drew Schmid,2024 Calvin Kalamazoo Olivet,1:08.31,68.31,X
1,Maggie Farrell,Calvin Winter Invitational,54.84,54.84,D3 B
2,Sydney Sonday,MIAA Championships,56.15,56.15,
3,Sadie Norman,MIAA Championships,57.70,57.7,
4,Natalie Fisher,MIAA Championships,59.65,59.65,
5,Sophia Korfmacher,Calvin Winter Invitational,59.71,59.71,
6,Maria Pfundt,Calvin Winter Invitational,59.77,59.77,
7,Isabella Gable,Calvin at Wheaton,59.98,59.98,X
8,Lauren Miedema,CMU Quad Meet,1:00.30,60.3,
9,Lynda Steen,MIAA Championships,1:00.47,60.47,
10,Emma Merkel,Calvin at Wheaton,1:01.27,61.27,
11,Kristin Winkle,MIAA Championships,1:01.39,61.39,
12,Jorie Cho,Calvin Winter Invitational,1:02.34,62.34,
13,Abby Merz,Calvin Wayne State,1:02.42,62.42,
14,Katie Phippen,Calvin Wayne State,1:02.78,62.78,
15,Madi McNearney,Calvin Quad,1:02.79,62.79,X
16,Kaelin Kelley,Calvin v Albion v Alma,1:03.09,63.09,
17,Grace Carpenter,Calvin v Albion v Alma,1:04.47,64.47,
18,Elizabeth Dylewski,Calvin Winter Invitational,1:04.62,64.62,
19,Milana Srbinovski,MIAA Championships,1:04.92,64.92,
20,Tori Beigle,2024 Calvin Kalamazoo Olivet,1:07.49,67.49,X
21,Eden Maring,Calvin Wayne State,1:09.98,69.98,X
22,Ashley Sap,Calvin Winter Invitational,1:10.05,70.05,
23,Natalie Vroon,Calvin Wayne State,1:11.55,71.55,
24,Maya Bedford,Calvin Wayne State,1:12.12,72.12,
1,Julien Camy,NCAA Division III Championship,1:47.12,107.12,
2,Eric Chimes,MIAA Championships,1:47.44,107.44,D3 B
3,Timothy Hays,Calvin Winter Invitational,1:50.16,110.16,D3 B
4,Austin Martinson,MIAA Championships,1:51.50,111.5,
5,Jacob Ziegler,Calvin Winter Invitational,1:56.65,116.65,
6,Benjamin Wichhart,MIAA Championships,1:57.27,117.27000000000001,
7,Forrest Peterson,Calvin at Wheaton,1:58.11,118.11,
8,David Bajwa,Calvin Wayne State,1:58.17,118.17,
9,Jake Schotanus,MIAA Championships,1:58.18,118.18,
10,Ethan Wayne,MIAA Championships,2:01.99,121.99,
11,Steven Devaughn,2024 Calvin Kalamazoo Olivet,2:06.47,126.47,
12,Corey Campbell,Calvin at Wheaton,2:13.07,133.07,
13,Tater Ring,Calvin Quad,2:24.34,144.34,
1,Maggie Farrell,Calvin GVSU SVSU,2:09.60,129.6,
2,Lynda Steen,Hope vs. Calvin,2:13.27,133.27,
3,Lauren Miedema,Calvin Quad,2:16.58,136.57999999999998,
4,Madi McNearney,Calvin at Wheaton,2:18.72,138.72,
5,Natalie Fisher,MIAA Championships,2:18.91,138.91,
6,Abby Merz,Calvin Quad,2:19.48,139.48,
7,Jorie Cho,Calvin Winter Invitational,2:23.03,143.03,
8,Elizabeth Dylewski,Calvin Winter Invitational,2:23.07,143.07,
9,Milana Srbinovski,Calvin Quad,2:26.02,146.02,
10,Maria Pfundt,Calvin Quad,2:30.54,150.54,
11,Grace Carpenter,Calvin at Wheaton,2:37.71,157.71,
1,Eric Chimes,GCC v Calvin,54.12,54.12,
2,Caleb Gemmen,GCC v Calvin,56.03,56.03,
3,Logan Yakubowski,GCC v Calvin,56.65,56.65,
4,Anthony Crudele,GCC v Calvin,58.59,58.59,
1,Elyse Radawski,MIAA Championships,1:00.56,60.56,
2,Isabella Gable,GCC v Calvin,1:02.91,62.91,
3,Sophia Korfmacher,GCC v Calvin,1:03.88,63.88,
4,Katie Phippen,MIAA Championships,1:04.70,64.7,
5,Abby Merz,GCC v Calvin,1:06.06,66.06,
1,Eric Chimes,NCAA Division III Championship,1:48.43,108.43,
2,Timothy Hays,MIAA Championships,1:50.24,110.24000000000001,D3 B
3,David Bajwa,Calvin Winter Invitational,1:50.34,110.34,D3 B
4,Caleb Gemmen,MIAA Championships,1:55.08,115.08,
5,Jacob Ziegler,Calvin Winter Invitational,1:55.10,115.1,
6,Austin Martinson,Calvin Winter Invitational,1:55.42,115.42,
7,Anthony Crudele,MIAA Championships,1:56.09,116.09,
8,Logan Yakubowski,MIAA Championships,1:57.06,117.06,
9,Mohamed Abujiba,MIAA Championships,2:03.39,123.39,
10,Jake Schotanus,MIAA Championships,2:03.71,123.71,
11,Drew Schmid,MIAA Championships,2:03.86,123.86,
12,Josh Krampe,Calvin v Albion v Alma,2:12.07,132.07,
13,Ethan Wayne,Calvin v Albion v Alma,2:15.20,135.2,
1,Isabella Gable,Calvin Winter Invitational,2:06.56,126.56,
2,Elyse Radawski,Calvin Winter Invitational,2:10.34,130.34,
3,Emma Merkel,Calvin v Albion v Alma,2:12.29,132.29,
4,Madi McNearney,Calvin Winter Invitational,2:12.42,132.42,
5,Sophia Korfmacher,Calvin Winter Invitational,2:12.79,132.79,
6,Maggie Farrell,Calvin at Wheaton,2:13.63,133.63,
7,Natalie Fisher,MIAA Championships,2:14.22,134.22,
8,Abby Merz,Hope vs. Calvin,2:18.07,138.07,
9,Tori Beigle,Calvin Winter Invitational,2:20.75,140.75,
10,Sadie Norman,Calvin at Wheaton,2:23.71,143.71,
11,Maya Bedford,Calvin Winter Invitational,2:27.74,147.74,
12,Natalie Vroon,Calvin Winter Invitational,2:32.34,152.34,
1,Eric Chimes,MIAA Championships,3:56.47,236.47,D3 B
2,Timothy Hays,Calvin Quad,4:05.91,245.91,
3,Austin Martinson,MIAA Championships,4:08.42,248.42,
4,Jacob Ziegler,Calvin Winter Invitational,4:10.16,250.16,
5,David Bajwa,Calvin Quad,4:12.38,252.38,
6,Logan Yakubowski,Calvin Winter Invitational,4:16.15,256.15,
7,Ryan Halberg,Calvin Wayne State,4:24.55,264.55,
8,Drew Schmid,2024 Calvin Kalamazoo Olivet,4:45.86,285.86,
9,Henry Phippen,Calvin Wayne State,4:49.65,289.65,
1,Isabella Gable,Calvin at Wheaton,4:32.83,272.83,
2,Madi McNearney,Calvin Quad,4:42.27,282.27,
3,Abby Merz,MIAA Championships,4:44.52,284.52,
4,Sophia Korfmacher,MIAA Championships,4:44.96,284.96,
5,Natalie Fisher,Calvin Winter Invitational,4:55.62,295.62,
6,Katie Phippen,2024 Calvin Kalamazoo Olivet,4:59.09,299.09000000000003,
7,Eden Maring,Calvin Wayne State,5:03.03,303.03,
8,Kaelin Kelley,Calvin Quad,5:03.82,303.82,
9,Tori Beigle,2024 Calvin Kalamazoo Olivet,5:08.26,308.26,
