Rank,Name,Meet,Time,Time in Seconds,Flags,Event ID,Event,Gender
7,Jazz Widney,Calvin Winter Invitational,46.47,46.47,,1100,100 Free,Male
8,Zach Logan,Calvin Winter Invitational,46.52,46.52,,1100,100 Free,Male
9,Austin Martinson,Calvin Winter Invitational,46.74,46.74,R,1100,100 Free,Male
10,Corey Campbell,MIAA Championships,46.84,46.84,,1100,100 Free,Male
11,Addison Van Soelen,Calvin Winter Invitational,47.23,47.23,,1100,100 Free,Male
12,Timothy Hays,Calvin Winter Invitational,47.42,47.42,R,1100,100 Free,Male
13,Josh Seidelman,Calvin at Wheaton,47.83,47.83,,1100,100 Free,Male
14,Carter Detweiler,MIAA Championships,47.91,47.91,,1100,100 Free,Male
15,Ted Turnage,MIAA Championships,48.36,48.36,,1100,100 Free,Male
15,Luke Foll,MIAA Championships,48.36,48.36,,1100,100 Free,Male
17,Jacob Ziegler,Calvin Wayne State,48.55,48.55,,1100,100 Free,Male
18,Benjamin Wichhart,Calvin Winter Invitational,49.11,49.11,R,1100,100 Free,Male
19,Will Bales,Hope vs. Calvin,49.43,49.43,,1100,100 Free,Male
20,Steven Devaughn,Calvin Winter Invitational,49.47,49.47,,1100,100 Free,Male
21,Logan Yakubowski,Calvin Quad,49.52,49.52,R,1100,100 Free,Male
22,Henry Phippen,Calvin Wayne State,49.57,49.57,,1100,100 Free,Male
23,Ryan Halberg,Chicago vs. Calvin,49.76,49.76,R,1100,100 Free,Male
24,Jake Schotanus,Calvin Wayne State,50.20,50.2,,1100,100 Free,Male
25,Mohamed Abujiba,GCC v Calvin,50.82,50.82,,1100,100 Free,Male
26,Jonathan Taylor,Calvin Winter Invitational,51.16,51.16,,1100,100 Free,Male
27,Beau Reeder,MIAA Championships,51.34,51.34,,1100,100 Free,Male
28,Tater Ring,MIAA Championships,51.48,51.48,,1100,100 Free,Male
29,Mike Wormmeester,MIAA Championships,51.85,51.85,R,1100,100 Free,Male
30,Peter Crudele,Calvin Winter Invitational,52.27,52.27,,1100,100 Free,Male
31,Nate Kaestner,Calvin Quad,55.47,55.47,R,1100,100 Free,Male
1,Isabella Gable,Calvin Winter Invitational,50.93,50.93,D3 B R,1100,100 Free,Female
2,Sydney Sonday,MIAA Championships,51.24,51.24,D3 B,1100,100 Free,Female
3,Maggie Farrell,MIAA Championships,51.54,51.54,,1100,100 Free,Female
4,Emma Merkel,Calvin GVSU SVSU,53.33,53.33,,1100,100 Free,Female
5,Meghan Bengelink,Calvin Quad,53.36,53.36,,1100,100 Free,Female
6,Anya Hopek,MIAA Championships,54.42,54.42,,1100,100 Free,Female
7,Jorie Cho,MIAA Championships,54.93,54.93,R,1100,100 Free,Female
8,Kristin Winkle,MIAA Championships,55.04,55.04,R,1100,100 Free,Female
9,Natalie Fisher,Calvin Winter Invitational,55.14,55.14,R,1100,100 Free,Female
10,Jenna Pierce,Hope vs. Calvin,55.17,55.17,,1100,100 Free,Female
11,Maria Pfundt,Calvin Winter Invitational,55.23,55.23,,1100,100 Free,Female
12,Kaelin Kelley,Calvin Winter Invitational,55.54,55.54,,1100,100 Free,Female
13,Abby Merz,MIAA Championships,55.88,55.88,,1100,100 Free,Female
14,Sophia Korfmacher,Calvin Winter Invitational,55.92,55.92,R,1100,100 Free,Female
15,Katie Phippen,Calvin v Albion v Alma,55.96,55.96,,1100,100 Free,Female
16,Sadie Norman,Calvin Winter Invitational,56.00,56,R,1100,100 Free,Female
17,Grace Carpenter,Calvin Winter Invitational,56.10,56.1,,1100,100 Free,Female
18,Lauren Miedema,Calvin Winter Invitational,56.20,56.2,R,1100,100 Free,Female
19,Elyse Radawski,Calvin Wayne State,56.59,56.59,,1100,100 Free,Female
20,Madi McNearney,Calvin Quad,56.61,56.61,R,1100,100 Free,Female
21,Becca Streelman,Calvin Wayne State,56.72,56.72,,1100,100 Free,Female
22,Lauren Robertson,MIAA Championships,56.84,56.84,,1100,100 Free,Female
23,Rachel Haitonic,Calvin Winter Invitational,57.38,57.38,,1100,100 Free,Female
24,Aly Hoover,MIAA Championships,58.38,58.38,,1100,100 Free,Female
25,Cailin Ogg,MIAA Championships,58.48,58.48,,1100,100 Free,Female
26,Maya Bedford,Calvin Quad,58.97,58.97,,1100,100 Free,Female
27,Eden Maring,Hope vs. Calvin,59.20,59.2,,1100,100 Free,Female
28,Milana Srbinovski,Calvin GVSU SVSU,1:00.36,60.36,,1100,100 Free,Female
29,Tori Beigle,Hope vs. Calvin,1:00.55,60.55,,1100,100 Free,Female
30,Kailee Turner,Calvin v Albion v Alma,1:00.59,60.59,,1100,100 Free,Female
31,Ashley Sap,Calvin Quad,1:01.90,61.9,R,1100,100 Free,Female
32,Lynda Steen,Calvin v Albion v Alma,1:02.54,62.54,,1100,100 Free,Female
1,Charles Platt,MIAA Championships,1:38.95,98.95,D3 B,1200,200 Free,Male
2,David Bajwa,MIAA Championships,1:39.89,99.89,R,1200,200 Free,Male
3,Julien Camy,MIAA Championships,1:39.99,99.99000000000001,R,1200,200 Free,Male
4,Josh Seidelman,MIAA Championships,1:41.38,101.38,,1200,200 Free,Male
5,Eric Chimes,Calvin Winter Invitational,1:41.69,101.69,R,1200,200 Free,Male
6,Jack Kulaga,MIAA Championships,1:41.99,101.99000000000001,,1200,200 Free,Male
7,Ryan Halberg,MIAA Championships,1:43.43,103.43,,1200,200 Free,Male
8,Austin Martinson,MIAA Championships,1:43.50,103.5,R,1200,200 Free,Male
9,Andrew Stimpert,MIAA Championships,1:44.43,104.43,,1200,200 Free,Male
10,Jacob Ziegler,Calvin Winter Invitational,1:44.58,104.58,R,1200,200 Free,Male
11,Addison Van Soelen,MIAA Championships,1:44.62,104.62,,1200,200 Free,Male
12,Vlad Molin,Calvin Winter Invitational,1:44.75,104.75,,1200,200 Free,Male
13,Zach Logan,MIAA Championships,1:45.13,105.13,,1200,200 Free,Male
14,Timothy Hays,Calvin v Albion v Alma,1:45.89,105.89,,1200,200 Free,Male
15,Henry Phippen,Calvin Winter Invitational,1:45.90,105.9,,1200,200 Free,Male
16,Ted Turnage,Calvin Winter Invitational,1:46.26,106.25999999999999,R,1200,200 Free,Male
17,Carter Detweiler,MIAA Championships,1:46.63,106.63,,1200,200 Free,Male
18,Mike Wormmeester,MIAA Championships,1:47.12,107.12,,1200,200 Free,Male
19,Anthony Crudele,Calvin Winter Invitational,1:48.25,108.25,R,1200,200 Free,Male
20,Will Bales,MIAA Championships,1:49.15,109.15,,1200,200 Free,Male
21,Benjamin Wichhart,2024 Calvin Kalamazoo Olivet,1:51.89,111.89,,1200,200 Free,Male
22,Ethan Wayne,Calvin Winter Invitational,1:52.65,112.65,R,1200,200 Free,Male
23,Logan Yakubowski,Calvin GVSU SVSU,1:52.80,112.8,,1200,200 Free,Male
24,Jake Schotanus,Calvin Wayne State,1:53.44,113.44,R,1200,200 Free,Male
25,Peter Crudele,MIAA Championships,1:55.07,115.07,,1200,200 Free,Male
26,Beau Reeder,MIAA Championships,1:55.26,115.25999999999999,,1200,200 Free,Male
27,Nate Kaestner,Calvin Winter Invitational,1:55.45,115.45,,1200,200 Free,Male
1,Isabella Gable,MIAA Championships,1:50.65,110.65,D3 B,1200,200 Free,Female
2,Emma Merkel,MIAA Championships,1:51.13,111.13,D3 B R,1200,200 Free,Female
3,Maggie Farrell,Calvin Winter Invitational,1:55.00,115,R,1200,200 Free,Female
4,Sydney Sonday,CMU Quad Meet,1:56.97,116.97,,1200,200 Free,Female
5,Becca Streelman,Calvin Winter Invitational,1:58.41,118.41,,1200,200 Free,Female
6,Meghan Bengelink,Calvin Winter Invitational,1:58.75,118.75,,1200,200 Free,Female
7,Kristin Winkle,MIAA Championships,1:59.56,119.56,R,1200,200 Free,Female
8,Sophia Korfmacher,Calvin Wayne State,1:59.66,119.66,R,1200,200 Free,Female
9,Madi McNearney,Calvin Winter Invitational,2:01.38,121.38,R,1200,200 Free,Female
10,Jenna Pierce,Hope vs. Calvin,2:01.86,121.86,,1200,200 Free,Female
11,Grace Carpenter,Calvin Winter Invitational,2:02.31,122.31,R,1200,200 Free,Female
12,Elyse Radawski,Calvin Winter Invitational,2:02.72,122.72,R,1200,200 Free,Female
13,Katie Phippen,Calvin Winter Invitational,2:03.06,123.06,R,1200,200 Free,Female
14,Lauren Miedema,MIAA Championships,2:03.32,123.32,R,1200,200 Free,Female
15,Eden Maring,MIAA Championships,2:03.39,123.39,,1200,200 Free,Female
16,Lynda Steen,Calvin Winter Invitational,2:03.63,123.63,,1200,200 Free,Female
17,Kaelin Kelley,Calvin v Albion v Alma,2:04.12,124.12,,1200,200 Free,Female
18,Anya Hopek,CMU Quad Meet,2:04.38,124.38,,1200,200 Free,Female
19,Natalie Fisher,Calvin at Wheaton,2:04.43,124.43,,1200,200 Free,Female
20,Milana Srbinovski,Calvin Winter Invitational,2:05.75,125.75,R,1200,200 Free,Female
21,Rachel Haitonic,Calvin Winter Invitational,2:06.14,126.14,,1200,200 Free,Female
22,Kailee Turner,MIAA Championships,2:06.97,126.97,,1200,200 Free,Female
23,Cailin Ogg,MIAA Championships,2:07.42,127.42,,1200,200 Free,Female
24,Ashley Sap,Calvin Winter Invitational,2:08.64,128.64,,1200,200 Free,Female
25,Annie Connors,2024 Calvin Kalamazoo Olivet,2:08.92,128.92,,1200,200 Free,Female
26,Maya Bedford,Calvin Quad,2:09.41,129.41,,1200,200 Free,Female
1,Josh Seidelman,Calvin Winter Invitational,4:38.49,278.49,,1500,500 Free,Male
2,Ryan Halberg,MIAA Championships,4:38.95,278.95,,1500,500 Free,Male
3,Andrew Stimpert,MIAA Championships,4:42.80,282.8,,1500,500 Free,Male
4,Eric Chimes,Hope vs. Calvin,4:46.01,286.01,,1500,500 Free,Male
5,Jack Kulaga,MIAA Championships,4:46.12,286.12,,1500,500 Free,Male
6,Timothy Hays,GCC v Calvin,4:52.24,292.24,,1500,500 Free,Male
7,Henry Phippen,MIAA Championships,4:54.85,294.85,,1500,500 Free,Male
8,Mike Wormmeester,MIAA Championships,4:55.79,295.79,,1500,500 Free,Male
9,Benjamin Wichhart,MIAA Championships,4:58.80,298.8,,1500,500 Free,Male
10,Austin Martinson,Calvin Wayne State,4:59.30,299.3,,1500,500 Free,Male
11,Forrest Peterson,Calvin at Wheaton,4:59.89,299.89,,1500,500 Free,Male
12,Carter Detweiler,MIAA Championships,5:00.27,300.27,,1500,500 Free,Male
13,Nate Kaestner,MIAA Championships,5:01.61,301.61,,1500,500 Free,Male
14,Jacob Ziegler,GCC v Calvin,5:04.30,304.3,,1500,500 Free,Male
15,Ethan Wayne,MIAA Championships,5:07.81,307.81,,1500,500 Free,Male
16,Peter Crudele,Calvin Winter Invitational,5:17.36,317.36,,1500,500 Free,Male
1,Emma Merkel,Calvin Quad,5:02.41,302.41,,1500,500 Free,Female
2,Isabella Gable,Calvin Quad,5:02.45,302.45,,1500,500 Free,Female
3,Becca Streelman,MIAA Championships,5:17.60,317.6,,1500,500 Free,Female
4,Lynda Steen,MIAA Championships,5:22.42,322.42,,1500,500 Free,Female
5,Kristin Winkle,MIAA Championships,5:22.53,322.53,,1500,500 Free,Female
6,Megan Pankratz,MIAA Championships,5:23.10,323.1,,1500,500 Free,Female
7,Sophia Korfmacher,Calvin Wayne State,5:25.15,325.15,,1500,500 Free,Female
8,Madi McNearney,Calvin v Albion v Alma,5:27.13,327.13,,1500,500 Free,Female
9,Lauren Miedema,Calvin Quad,5:31.53,331.53,,1500,500 Free,Female
10,Eden Maring,Calvin Quad,5:31.85,331.85,,1500,500 Free,Female
11,Kailee Turner,MIAA Championships,5:38.68,338.68,,1500,500 Free,Female
12,Ashley Sap,Calvin Quad,5:42.47,342.47,,1500,500 Free,Female
13,Rachel Haitonic,Calvin Winter Invitational,5:47.15,347.15,,1500,500 Free,Female
14,Elizabeth Dylewski,Calvin Winter Invitational,5:54.83,354.83,,1500,500 Free,Female
15,Annie Connors,Calvin Quad,5:55.06,355.06,,1500,500 Free,Female
16,Maya Bedford,Calvin Quad,6:03.04,363.04,,1500,500 Free,Female
1,Ryan Halberg,Chicago vs. Calvin,9:49.39,589.39,,11000,1000 Free,Male
2,Josh Seidelman,Calvin Winter Invitational,9:52.52,592.52,X,11000,1000 Free,Male
3,Andrew Stimpert,MIAA Championships,10:01.06,601.06,X,11000,1000 Free,Male
4,Eric Chimes,GCC v Calvin,10:11.16,611.16,,11000,1000 Free,Male
5,Henry Phippen,Calvin Winter Invitational,10:24.80,624.8,X,11000,1000 Free,Male
6,Nate Kaestner,Calvin Winter Invitational,10:33.23,633.23,X,11000,1000 Free,Male
7,Benjamin Wichhart,Calvin v Albion v Alma,11:02.34,662.34,,11000,1000 Free,Male
