Rank,Name,Meet,Time,Time in Seconds,Flags,Event ID,Event,Gender
2,Timothy Hays,MIAA Championships,25.88,25.88,X,350,50 Breast,Male
3,Mohamed Abujiba,MIAA Championships,26.09,26.09,,350,50 Breast,Male
4,Anthony Crudele,MIAA Championships,26.50,26.5,X,350,50 Breast,Male
5,David Bajwa,MIAA Championships,27.10,27.1,X,350,50 Breast,Male
6,Logan Yakubowski,MIAA Championships,27.22,27.22,,350,50 Breast,Male
7,Luke Foll,MIAA Championships,27.47,27.47,,350,50 Breast,Male
8,Charles Platt,GCC v Calvin,27.57,27.57,X,350,50 Breast,Male
9,Drew Schmid,MIAA Championships,27.91,27.91,,350,50 Breast,Male
10,Josh Krampe,Calvin GVSU SVSU,29.08,29.08,X,350,50 Breast,Male
11,Andrew Stimpert,Calvin Wayne State,29.63,29.63,X,350,50 Breast,Male
1,Elise Bajwa,MIAA Championships,29.34,29.34,,350,50 Breast,Female
2,Maggie Farrell,Calvin Wayne State,31.38,31.38,X,350,50 Breast,Female
3,Elyse Radawski,Calvin Winter Invitational,31.45,31.45,X,350,50 Breast,Female
4,Anya Hopek,MIAA Championships,31.74,31.74,,350,50 Breast,Female
5,Sophia Korfmacher,Calvin Winter Invitational,31.80,31.8,X,350,50 Breast,Female
6,Abby Merz,MIAA Championships,32.65,32.65,X,350,50 Breast,Female
7,Kaelin Kelley,Calvin Winter Invitational,33.19,33.19,X,350,50 Breast,Female
8,Aly Hoover,MIAA Championships,33.37,33.37,,350,50 Breast,Female
9,Megan Pankratz,MIAA Championships,33.56,33.56,X,350,50 Breast,Female
10,Sydney Sonday,Calvin at Wheaton,33.92,33.92,X,350,50 Breast,Female
11,Natalie Vroon,MIAA Championships,34.86,34.86,,350,50 Breast,Female
12,Maya Bedford,Calvin Wayne State,35.57,35.57,X,350,50 Breast,Female
13,Milana Srbinovski,Calvin Winter Invitational,35.78,35.78,X,350,50 Breast,Female
1,Caleb Gemmen,NCAA Division III Championship,55.04,55.04,,3100,100 Breast,Male
2,Timothy Hays,MIAA Championships,55.81,55.81,,3100,100 Breast,Male
3,Anthony Crudele,MIAA Championships,57.01,57.01,,3100,100 Breast,Male
4,Mohamed Abujiba,Calvin Winter Invitational,57.63,57.63,,3100,100 Breast,Male
5,Charles Platt,GCC v Calvin,58.28,58.28,,3100,100 Breast,Male
6,David Bajwa,MIAA Championships,58.48,58.48,,3100,100 Breast,Male
7,Logan Yakubowski,Calvin Winter Invitational,59.29,59.29,,3100,100 Breast,Male
8,Luke Foll,Calvin Winter Invitational,59.78,59.78,,3100,100 Breast,Male
9,Drew Schmid,Calvin Winter Invitational,1:00.64,60.64,,3100,100 Breast,Male
10,Josh Krampe,Calvin GVSU SVSU,1:01.66,61.66,,3100,100 Breast,Male
11,Andrew Stimpert,Calvin Wayne State,1:03.22,63.22,,3100,100 Breast,Male
1,Elise Bajwa,MIAA Championships,1:04.74,64.74,,3100,100 Breast,Female
2,Maggie Farrell,Calvin Wayne State,1:06.88,66.88,,3100,100 Breast,Female
3,Elyse Radawski,Calvin Winter Invitational,1:07.83,67.83,,3100,100 Breast,Female
4,Anya Hopek,MIAA Championships,1:08.95,68.95,,3100,100 Breast,Female
5,Sophia Korfmacher,Calvin Quad,1:08.99,68.99,,3100,100 Breast,Female
6,Kaelin Kelley,Calvin Winter Invitational,1:10.27,70.27,,3100,100 Breast,Female
7,Abby Merz,MIAA Championships,1:10.56,70.56,,3100,100 Breast,Female
8,Megan Pankratz,Calvin Winter Invitational,1:11.37,71.37,,3100,100 Breast,Female
9,Sydney Sonday,Calvin at Wheaton,1:11.76,71.76,,3100,100 Breast,Female
10,Aly Hoover,MIAA Championships,1:13.67,73.67,,3100,100 Breast,Female
11,Maya Bedford,Calvin Wayne State,1:15.23,75.23,,3100,100 Breast,Female
12,Natalie Vroon,Calvin Quad,1:15.72,75.72,,3100,100 Breast,Female
13,Milana Srbinovski,Calvin Winter Invitational,1:17.41,77.41,,3100,100 Breast,Female
1,Caleb Gemmen,Calvin Winter Invitational,2:00.07,120.07,D3 B,3200,200 Breast,Male
2,Timothy Hays,Hope vs. Calvin,2:05.41,125.41,,3200,200 Breast,Male
3,David Bajwa,Calvin Winter Invitational,2:07.38,127.38,,3200,200 Breast,Male
4,Anthony Crudele,MIAA Championships,2:07.39,127.39,,3200,200 Breast,Male
5,Mohamed Abujiba,Calvin Winter Invitational,2:07.60,127.6,,3200,200 Breast,Male
6,Logan Yakubowski,MIAA Championships,2:10.69,130.69,,3200,200 Breast,Male
7,Drew Schmid,Calvin Winter Invitational,2:13.51,133.51,,3200,200 Breast,Male
8,Luke Foll,Calvin Winter Invitational,2:15.46,135.46,,3200,200 Breast,Male
9,Eric Chimes,Calvin at Wheaton,2:15.51,135.51,,3200,200 Breast,Male
10,Andrew Stimpert,Calvin at Wheaton,2:21.70,141.7,,3200,200 Breast,Male
11,Josh Krampe,Calvin GVSU SVSU,2:22.77,142.77,,3200,200 Breast,Male
1,Elise Bajwa,MIAA Championships,2:24.01,144.01,,3200,200 Breast,Female
2,Sophia Korfmacher,Calvin Quad,2:28.00,148,,3200,200 Breast,Female
3,Elyse Radawski,MIAA Championships,2:30.16,150.16,,3200,200 Breast,Female
4,Maggie Farrell,Calvin Wayne State,2:31.19,151.19,,3200,200 Breast,Female
5,Abby Merz,2024 Calvin Kalamazoo Olivet,2:36.19,156.19,,3200,200 Breast,Female
6,Megan Pankratz,Calvin Wayne State,2:38.07,158.07,,3200,200 Breast,Female
7,Kaelin Kelley,CMU Quad Meet,2:38.48,158.48,,3200,200 Breast,Female
8,Anya Hopek,Calvin Quad,2:39.91,159.91,,3200,200 Breast,Female
9,Natalie Vroon,MIAA Championships,2:43.30,163.3,,3200,200 Breast,Female
10,Aly Hoover,2024 Calvin Kalamazoo Olivet,2:49.74,169.74,,3200,200 Breast,Female
1,Forrest Peterson,MIAA Championships,21.31,21.31,,450,50 Fly,Male
2,Julien Camy,NCAA Division III Championship,21.67,21.67,X,450,50 Fly,Male
3,David Bajwa,MIAA Championships,22.33,22.33,X,450,50 Fly,Male
4,Corey Campbell,MIAA Championships,22.43,22.43,X,450,50 Fly,Male
5,Jazz Widney,MIAA Championships,22.80,22.8,,450,50 Fly,Male
6,Austin Martinson,MIAA Championships,23.22,23.22,X,450,50 Fly,Male
7,Vlad Molin,MIAA Championships,23.39,23.39,X,450,50 Fly,Male
8,Benjamin Wichhart,MIAA Championships,23.42,23.42,,450,50 Fly,Male
9,Steven Devaughn,MIAA Championships,23.69,23.69,,450,50 Fly,Male
10,Eric Chimes,Calvin v Albion v Alma,23.79,23.79,X,450,50 Fly,Male
11,Logan Yakubowski,MIAA Championships,23.84,23.84,X,450,50 Fly,Male
12,Timothy Hays,Calvin at Wheaton,24.12,24.12,X,450,50 Fly,Male
13,Will Bales,MIAA Championships,24.15,24.15,,450,50 Fly,Male
14,Tater Ring,MIAA Championships,24.50,24.5,,450,50 Fly,Male
15,Jake Schotanus,Calvin Winter Invitational,24.56,24.56,X,450,50 Fly,Male
16,Ethan Wayne,MIAA Championships,24.77,24.77,,450,50 Fly,Male
17,Zach Logan,Calvin Wayne State,25.08,25.08,X,450,50 Fly,Male
18,Jacob Ziegler,GCC v Calvin,25.33,25.33,X,450,50 Fly,Male
19,Mohamed Abujiba,GCC v Calvin,25.64,25.64,X,450,50 Fly,Male
20,Caleb Gemmen,Calvin v Albion v Alma,25.67,25.67,X,450,50 Fly,Male
1,Maria Pfundt,Calvin Quad,19.96,19.96,X,450,50 Fly,Female
2,Maggie Farrell,NCAA Division III Championship,25.36,25.36,X,450,50 Fly,Female
3,Sydney Sonday,MIAA Championships,26.07,26.07,X,450,50 Fly,Female
4,Natalie Fisher,MIAA Championships,26.49,26.49,,450,50 Fly,Female
5,Sadie Norman,MIAA Championships,27.09,27.09,X,450,50 Fly,Female
6,Jorie Cho,MIAA Championships,27.59,27.59,,450,50 Fly,Female
7,Kristin Winkle,MIAA Championships,27.86,27.86,X,450,50 Fly,Female
8,Sophia Korfmacher,Calvin Winter Invitational,27.89,27.89,X,450,50 Fly,Female
9,Lauren Miedema,GCC v Calvin,27.95,27.95,,450,50 Fly,Female
10,Emma Merkel,GCC v Calvin,28.32,28.32,,450,50 Fly,Female
11,Lynda Steen,MIAA Championships,28.38,28.38,X,450,50 Fly,Female
12,Abby Merz,Calvin Wayne State,28.70,28.7,X,450,50 Fly,Female
13,Grace Carpenter,Calvin Winter Invitational,28.73,28.73,X,450,50 Fly,Female
14,Milana Srbinovski,MIAA Championships,28.97,28.97,,450,50 Fly,Female
15,Kaelin Kelley,Calvin v Albion v Alma,29.06,29.06,X,450,50 Fly,Female
16,Elizabeth Dylewski,MIAA Championships,29.54,29.54,,450,50 Fly,Female
17,Katie Phippen,Calvin Wayne State,29.90,29.9,X,450,50 Fly,Female
18,Kailee Turner,MIAA Championships,30.61,30.61,,450,50 Fly,Female
19,Ashley Sap,Calvin Winter Invitational,31.85,31.85,X,450,50 Fly,Female
20,Maya Bedford,Calvin Wayne State,32.58,32.58,X,450,50 Fly,Female
21,Natalie Vroon,Calvin Wayne State,33.33,33.33,X,450,50 Fly,Female
1,Julien Camy,NCAA Division III Championship,46.44,46.44,,4100,100 Fly,Male
2,Forrest Peterson,MIAA Championships,47.71,47.71,D3 B,4100,100 Fly,Male
3,David Bajwa,MIAA Championships,47.83,47.83,D3 B,4100,100 Fly,Male
4,Corey Campbell,MIAA Championships,49.82,49.82,,4100,100 Fly,Male
5,Austin Martinson,MIAA Championships,49.87,49.87,,4100,100 Fly,Male
6,Vlad Molin,MIAA Championships,50.68,50.68,,4100,100 Fly,Male
7,Jazz Widney,Calvin Winter Invitational,50.69,50.69,,4100,100 Fly,Male
8,Eric Chimes,Calvin v Albion v Alma,50.89,50.89,,4100,100 Fly,Male
9,Benjamin Wichhart,MIAA Championships,51.50,51.5,,4100,100 Fly,Male
10,Timothy Hays,Calvin v Albion v Alma,51.58,51.58,,4100,100 Fly,Male
11,Logan Yakubowski,Calvin Winter Invitational,51.83,51.83,,4100,100 Fly,Male
12,Jake Schotanus,MIAA Championships,52.50,52.5,,4100,100 Fly,Male
13,Steven Devaughn,MIAA Championships,52.83,52.83,,4100,100 Fly,Male
14,Jacob Ziegler,Calvin Winter Invitational,53.97,53.97,X,4100,100 Fly,Male
15,Ethan Wayne,Calvin Winter Invitational,54.14,54.14,,4100,100 Fly,Male
16,Will Bales,Calvin Wayne State,54.79,54.79,,4100,100 Fly,Male
17,Mohamed Abujiba,GCC v Calvin,55.15,55.15,,4100,100 Fly,Male
18,Tater Ring,MIAA Championships,55.30,55.3,,4100,100 Fly,Male
19,Zach Logan,Calvin Wayne State,55.38,55.38,,4100,100 Fly,Male
20,Caleb Gemmen,Calvin v Albion v Alma,56.27,56.27,,4100,100 Fly,Male
21,Ryan Halberg,Calvin Wayne State,1:00.21,60.21,X,4100,100 Fly,Male
22,Henry Phippen,Calvin Wayne State,1:03.61,63.61,X,4100,100 Fly,Male
23,Drew Schmid,2024 Calvin Kalamazoo Olivet,1:08.31,68.31,X,4100,100 Fly,Male
1,Maggie Farrell,Calvin Winter Invitational,54.84,54.84,D3 B,4100,100 Fly,Female
2,Sydney Sonday,MIAA Championships,56.15,56.15,,4100,100 Fly,Female
3,Sadie Norman,MIAA Championships,57.70,57.7,,4100,100 Fly,Female
4,Natalie Fisher,MIAA Championships,59.65,59.65,,4100,100 Fly,Female
5,Sophia Korfmacher,Calvin Winter Invitational,59.71,59.71,,4100,100 Fly,Female
6,Maria Pfundt,Calvin Winter Invitational,59.77,59.77,,4100,100 Fly,Female
7,Isabella Gable,Calvin at Wheaton,59.98,59.98,X,4100,100 Fly,Female
8,Lauren Miedema,CMU Quad Meet,1:00.30,60.3,,4100,100 Fly,Female
9,Lynda Steen,MIAA Championships,1:00.47,60.47,,4100,100 Fly,Female
10,Emma Merkel,Calvin at Wheaton,1:01.27,61.27,,4100,100 Fly,Female
11,Kristin Winkle,MIAA Championships,1:01.39,61.39,,4100,100 Fly,Female
12,Jorie Cho,Calvin Winter Invitational,1:02.34,62.34,,4100,100 Fly,Female
13,Abby Merz,Calvin Wayne State,1:02.42,62.42,,4100,100 Fly,Female
14,Katie Phippen,Calvin Wayne State,1:02.78,62.78,,4100,100 Fly,Female
15,Madi McNearney,Calvin Quad,1:02.79,62.79,X,4100,100 Fly,Female
16,Kaelin Kelley,Calvin v Albion v Alma,1:03.09,63.09,,4100,100 Fly,Female
17,Grace Carpenter,Calvin v Albion v Alma,1:04.47,64.47,,4100,100 Fly,Female
18,Elizabeth Dylewski,Calvin Winter Invitational,1:04.62,64.62,,4100,100 Fly,Female
19,Milana Srbinovski,MIAA Championships,1:04.92,64.92,,4100,100 Fly,Female
20,Tori Beigle,2024 Calvin Kalamazoo Olivet,1:07.49,67.49,X,4100,100 Fly,Female
21,Eden Maring,Calvin Wayne State,1:09.98,69.98,X,4100,100 Fly,Female
22,Ashley Sap,Calvin Winter Invitational,1:10.05,70.05,,4100,100 Fly,Female
23,Natalie Vroon,Calvin Wayne State,1:11.55,71.55,,4100,100 Fly,Female
24,Maya Bedford,Calvin Wayne State,1:12.12,72.12,,4100,100 Fly,Female
1,Julien Camy,NCAA Division III Championship,1:47.12,107.12,,4200,200 Fly,Male
2,Eric Chimes,MIAA Championships,1:47.44,107.44,D3 B,4200,200 Fly,Male
3,Timothy Hays,Calvin Winter Invitational,1:50.16,110.16,D3 B,4200,200 Fly,Male
4,Austin Martinson,MIAA Championships,1:51.50,111.5,,4200,200 Fly,Male
5,Jacob Ziegler,Calvin Winter Invitational,1:56.65,116.65,,4200,200 Fly,Male
6,Benjamin Wichhart,MIAA Championships,1:57.27,117.27000000000001,,4200,200 Fly,Male
7,Forrest Peterson,Calvin at Wheaton,1:58.11,118.11,,4200,200 Fly,Male
8,David Bajwa,Calvin Wayne State,1:58.17,118.17,,4200,200 Fly,Male
9,Jake Schotanus,MIAA Championships,1:58.18,118.18,,4200,200 Fly,Male
10,Ethan Wayne,MIAA Championships,2:01.99,121.99,,4200,200 Fly,Male
11,Steven Devaughn,2024 Calvin Kalamazoo Olivet,2:06.47,126.47,,4200,200 Fly,Male
12,Corey Campbell,Calvin at Wheaton,2:13.07,133.07,,4200,200 Fly,Male
13,Tater Ring,Calvin Quad,2:24.34,144.34,,4200,200 Fly,Male
1,Maggie Farrell,Calvin GVSU SVSU,2:09.60,129.6,,4200,200 Fly,Female
2,Lynda Steen,Hope vs. Calvin,2:13.27,133.27,,4200,200 Fly,Female
3,Lauren Miedema,Calvin Quad,2:16.58,136.57999999999998,,4200,200 Fly,Female
4,Madi McNearney,Calvin at Wheaton,2:18.72,138.72,,4200,200 Fly,Female
5,Natalie Fisher,MIAA Championships,2:18.91,138.91,,4200,200 Fly,Female
6,Abby Merz,Calvin Quad,2:19.48,139.48,,4200,200 Fly,Female
7,Jorie Cho,Calvin Winter Invitational,2:23.03,143.03,,4200,200 Fly,Female
8,Elizabeth Dylewski,Calvin Winter Invitational,2:23.07,143.07,,4200,200 Fly,Female
9,Milana Srbinovski,Calvin Quad,2:26.02,146.02,,4200,200 Fly,Female
10,Maria Pfundt,Calvin Quad,2:30.54,150.54,,4200,200 Fly,Female
11,Grace Carpenter,Calvin at Wheaton,2:37.71,157.71,,4200,200 Fly,Female
1,Eric Chimes,GCC v Calvin,54.12,54.12,,5100,100 IM,Male
2,Caleb Gemmen,GCC v Calvin,56.03,56.03,,5100,100 IM,Male
3,Logan Yakubowski,GCC v Calvin,56.65,56.65,,5100,100 IM,Male
4,Anthony Crudele,GCC v Calvin,58.59,58.59,,5100,100 IM,Male
1,Elyse Radawski,MIAA Championships,1:00.56,60.56,,5100,100 IM,Female
2,Isabella Gable,GCC v Calvin,1:02.91,62.91,,5100,100 IM,Female
3,Sophia Korfmacher,GCC v Calvin,1:03.88,63.88,,5100,100 IM,Female
4,Katie Phippen,MIAA Championships,1:04.70,64.7,,5100,100 IM,Female
5,Abby Merz,GCC v Calvin,1:06.06,66.06,,5100,100 IM,Female
1,Eric Chimes,NCAA Division III Championship,1:48.43,108.43,,5200,200 IM,Male
2,Timothy Hays,MIAA Championships,1:50.24,110.24000000000001,D3 B,5200,200 IM,Male
3,David Bajwa,Calvin Winter Invitational,1:50.34,110.34,D3 B,5200,200 IM,Male
4,Caleb Gemmen,MIAA Championships,1:55.08,115.08,,5200,200 IM,Male
5,Jacob Ziegler,Calvin Winter Invitational,1:55.10,115.1,,5200,200 IM,Male
6,Austin Martinson,Calvin Winter Invitational,1:55.42,115.42,,5200,200 IM,Male
7,Anthony Crudele,MIAA Championships,1:56.09,116.09,,5200,200 IM,Male
8,Logan Yakubowski,MIAA Championships,1:57.06,117.06,,5200,200 IM,Male
9,Mohamed Abujiba,MIAA Championships,2:03.39,123.39,,5200,200 IM,Male
10,Jake Schotanus,MIAA Championships,2:03.71,123.71,,5200,200 IM,Male
11,Drew Schmid,MIAA Championships,2:03.86,123.86,,5200,200 IM,Male
12,Josh Krampe,Calvin v Albion v Alma,2:12.07,132.07,,5200,200 IM,Male
13,Ethan Wayne,Calvin v Albion v Alma,2:15.20,135.2,,5200,200 IM,Male
1,Isabella Gable,Calvin Winter Invitational,2:06.56,126.56,,5200,200 IM,Female
2,Elyse Radawski,Calvin Winter Invitational,2:10.34,130.34,,5200,200 IM,Female
3,Emma Merkel,Calvin v Albion v Alma,2:12.29,132.29,,5200,200 IM,Female
4,Madi McNearney,Calvin Winter Invitational,2:12.42,132.42,,5200,200 IM,Female
5,Sophia Korfmacher,Calvin Winter Invitational,2:12.79,132.79,,5200,200 IM,Female
6,Maggie Farrell,Calvin at Wheaton,2:13.63,133.63,,5200,200 IM,Female
7,Natalie Fisher,MIAA Championships,2:14.22,134.22,,5200,200 IM,Female
8,Abby Merz,Hope vs. Calvin,2:18.07,138.07,,5200,200 IM,Female
9,Tori Beigle,Calvin Winter Invitational,2:20.75,140.75,,5200,200 IM,Female
10,Sadie Norman,Calvin at Wheaton,2:23.71,143.71,,5200,200 IM,Female
11,Maya Bedford,Calvin Winter Invitational,2:27.74,147.74,,5200,200 IM,Female
12,Natalie Vroon,Calvin Winter Invitational,2:32.34,152.34,,5200,200 IM,Female
1,Eric Chimes,MIAA Championships,3:56.47,236.47,D3 B,5400,400 IM,Male
2,Timothy Hays,Calvin Quad,4:05.91,245.91,,5400,400 IM,Male
3,Austin Martinson,MIAA Championships,4:08.42,248.42,,5400,400 IM,Male
4,Jacob Ziegler,Calvin Winter Invitational,4:10.16,250.16,,5400,400 IM,Male
5,David Bajwa,Calvin Quad,4:12.38,252.38,,5400,400 IM,Male
6,Logan Yakubowski,Calvin Winter Invitational,4:16.15,256.15,,5400,400 IM,Male
7,Ryan Halberg,Calvin Wayne State,4:24.55,264.55,,5400,400 IM,Male
8,Drew Schmid,2024 Calvin Kalamazoo Olivet,4:45.86,285.86,,5400,400 IM,Male
9,Henry Phippen,Calvin Wayne State,4:49.65,289.65,,5400,400 IM,Male
1,Isabella Gable,Calvin at Wheaton,4:32.83,272.83,,5400,400 IM,Female
2,Madi McNearney,Calvin Quad,4:42.27,282.27,,5400,400 IM,Female
3,Abby Merz,MIAA Championships,4:44.52,284.52,,5400,400 IM,Female
4,Sophia Korfmacher,MIAA Championships,4:44.96,284.96,,5400,400 IM,Female
5,Natalie Fisher,Calvin Winter Invitational,4:55.62,295.62,,5400,400 IM,Female
6,Katie Phippen,2024 Calvin Kalamazoo Olivet,4:59.09,299.09000000000003,,5400,400 IM,Female
7,Eden Maring,Calvin Wayne State,5:03.03,303.03,,5400,400 IM,Female
8,Kaelin Kelley,Calvin Quad,5:03.82,303.82,,5400,400 IM,Female
9,Tori Beigle,2024 Calvin Kalamazoo Olivet,5:08.26,308.26,,5400,400 IM,Female
